Segment,Country,Product,Discount Band,Units Sold,Procurement,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Sales_MA_3,Date_ISO
Enterprise,Germany,Montana,Low,1706,102360,5,125,213250,6397,206852,204720,225139,2020-10-01
Midmarket,United States of America,Amarilla,High,3199,15997,260,15,47992,5279,42713,31995,229376,2020-10-01
Government,France,Velo,Low,639,1597,120,7,4473,44,4428,3195,84664,2020-10-01
Government,Germany,Montana,Medium,645,3225,5,20,12900,1032,11868,6450,19670,2020-10-01
Midmarket,United States of America,Velo,High,790,3950,120,15,11850,1185,10665,7900,8987,2020-10-01
Government,France,Paseo,High,293,1465,10,20,5860,879,4981,2930,9171,2020-10-01
Midmarket,United States of America,Paseo,Medium,3675,18375,10,15,55125,4961,50163,36750,21936,2020-10-02
Government,Canada,Amarilla,High,2734,6835,260,7,19138,2296,16841,13670,23995,2020-10-02
Government,Germany,Amarilla,Medium,1159,2897,260,7,8113,405,7707,5795,24904,2020-10-02
Small Business,Canada,Montana,Medium,3802,475312,5,300,1140750,102667,1038082,950625,354210,2020-10-02
Channel Partners,Canada,Carretera,Low,908,1362,3,12,10896,326,10569,2724,352119,2020-10-02
Government,Mexico,Velo,Medium,1498,3745,120,7,10486,629,9856,7490,352836,2020-10-02
Channel Partners,United States of America,Amarilla,None,1953,2929,260,12,23436,0,23436,5859,14620,2020-10-03
Government,United States of America,Carretera,Low,2529,6322,3,7,17703,177,17525,12645,16939,2020-10-04
Small Business,Germany,Velo,Medium,1250,156250,120,300,375000,18750,356250,312500,132404,2020-10-04
Channel Partners,United States of America,Amarilla,Low,1989,2983,260,12,23868,238,23629,5967,132468,2020-10-04
Midmarket,Canada,Amarilla,High,1743,8715,260,15,26145,3660,22484,17430,134121,2020-10-04
Government,Mexico,Montana,High,2255,11275,5,20,45100,5863,39237,22550,28450,2020-10-04
Enterprise,France,Amarilla,Medium,1987,119250,260,125,248437,14906,233531,238500,98417,2020-10-04
Government,United States of America,Montana,Medium,1282,6410,5,20,25640,2051,23588,12820,98785,2020-10-04
Enterprise,Canada,VTT,High,1583,94980,250,125,197875,25723,172151,189960,143090,2020-10-05
Government,Mexico,Carretera,Medium,1362,177060,3,350,476700,38136,438564,354120,211434,2020-10-05
Midmarket,France,Amarilla,Low,321,1605,260,15,4815,48,4766,3210,205160,2020-10-05
Channel Partners,Germany,VTT,Medium,2215,3322,250,12,26580,1860,24719,6645,156016,2020-10-05
Channel Partners,Canada,Carretera,Low,908,1362,3,12,10896,326,10569,2724,13351,2020-10-06
Government,France,Amarilla,Medium,2876,373880,260,350,1006600,70462,936138,747760,323809,2020-10-06
Government,Mexico,Paseo,High,1233,6165,10,20,24660,2959,21700,12330,322802,2020-10-06
Midmarket,Germany,Paseo,High,1175,5875,10,15,17625,2643,14981,11750,324273,2020-10-07
Midmarket,Mexico,Montana,Low,2214,11070,5,15,33210,332,32877,22140,23186,2020-10-07
Government,Mexico,Paseo,High,2535,6337,10,7,17745,2661,15083,12675,20980,2020-10-07
Government,United States of America,Amarilla,None,1143,2857,260,7,8001,0,8001,5715,18654,2020-10-07
Small Business,United States of America,Paseo,Medium,991,123875,10,300,297300,14865,282435,247750,101840,2020-10-07
Government,France,Carretera,High,2521,12607,3,20,50430,6051,44378,25215,111605,2020-10-08
Enterprise,France,Paseo,High,2441,146460,10,125,305125,33563,271561,292920,199458,2020-10-08
Enterprise,Germany,Paseo,Low,795,47700,10,125,99375,3975,95400,95400,137113,2020-10-08
Government,France,Paseo,Medium,1303,6515,10,20,26060,1303,24757,13030,130573,2020-10-08
Small Business,Mexico,Paseo,None,788,98500,10,300,236400,0,236400,197000,118852,2020-10-09
Government,Mexico,Paseo,High,260,1300,10,20,5200,728,4472,2600,88543,2020-10-09
Enterprise,Mexico,Amarilla,Low,1074,64440,260,125,134250,5370,128880,128880,123251,2020-10-09
Government,Canada,Montana,Low,2851,7127,5,7,19957,798,19158,14255,50837,2020-10-09
Enterprise,Mexico,VTT,High,341,20460,250,125,42625,4262,38362,40920,62133,2020-10-09
Government,United States of America,Montana,Low,1566,7830,5,20,31320,626,30693,15660,29404,2020-10-10
Channel Partners,United States of America,Velo,Low,1465,2197,120,12,17580,703,16876,4395,28644,2020-10-10
Government,Germany,Velo,High,241,1205,120,20,4820,482,4338,2410,17302,2020-10-10
Government,Canada,Amarilla,Medium,1118,5590,260,20,22360,1565,20794,11180,14003,2020-10-11
Government,Germany,Paseo,High,241,1205,10,20,4820,482,4338,2410,9823,2020-10-11
Government,United States of America,Paseo,High,2007,260910,10,350,702450,105367,597082,521820,207405,2020-10-11
Government,Canada,Amarilla,Low,1778,231140,260,350,622300,24892,597408,462280,399609,2020-10-12
Government,Germany,Velo,Medium,1001,5005,120,20,20020,1201,18818,10010,404436,2020-10-12
Enterprise,Mexico,Carretera,High,2156,129360,3,125,269500,32340,237160,258720,284462,2020-10-12
Government,France,Montana,Medium,1384,179985,5,350,484575,24228,460346,359970,238775,2020-10-12
Channel Partners,United States of America,Amarilla,None,2141,3211,260,12,25692,0,25692,6423,241066,2020-10-13
Government,Germany,Velo,High,2665,6662,120,7,18655,1865,16789,13325,167609,2020-10-13
Small Business,Germany,Carretera,High,2811,351375,3,300,843300,92763,750537,702750,264339,2020-10-14
Government,Canada,Velo,Low,2092,5230,120,7,14644,146,14497,10460,260608,2020-10-14
Small Business,Mexico,Carretera,Low,494,61750,3,300,148200,1482,146718,123500,303917,2020-10-15
Government,Germany,VTT,Low,2877,374010,250,350,1006950,20139,986811,748020,382675,2020-10-15
Government,France,Velo,Low,2177,283010,120,350,761950,30478,731472,566020,621667,2020-10-16
Midmarket,United States of America,VTT,Medium,1153,5765,250,15,17295,1037,16257,11530,578180,2020-10-16
Channel Partners,France,Montana,Medium,2342,3513,5,12,28104,1967,26136,7026,257955,2020-10-16
Government,Germany,Amarilla,Medium,1366,6830,260,20,27320,2185,25134,13660,22509,2020-10-16
Midmarket,France,Carretera,None,2178,10890,3,15,32670,0,32670,21780,27980,2020-10-17
Government,France,Montana,None,1899,9495,5,20,37980,0,37980,18990,31928,2020-10-17
Government,Germany,Velo,Medium,1001,5005,120,20,20020,1201,18818,10010,29823,2020-10-17
Government,Canada,VTT,High,623,80990,250,350,218050,26166,191884,161980,82894,2020-10-17
Midmarket,Canada,Paseo,High,2470,12350,10,15,37050,5187,31863,24700,80855,2020-10-17
Government,Mexico,Montana,Medium,720,93600,5,350,252000,12600,239400,187200,154382,2020-10-17
Channel Partners,United States of America,Carretera,Low,1947,2920,3,12,23364,700,22663,5841,97975,2020-10-18
Government,Germany,VTT,Medium,2297,11485,250,20,45940,2297,43643,22970,101902,2020-10-18
Midmarket,Germany,Amarilla,Medium,711,3555,260,15,10665,853,9811,7110,25372,2020-10-19
Government,Germany,VTT,High,1870,243100,250,350,654500,65450,589050,486200,214168,2020-10-19
Channel Partners,Mexico,Paseo,Medium,367,550,10,12,4404,396,4007,1101,200956,2020-10-19
Government,Germany,Carretera,Low,2580,12900,3,20,51600,1548,50052,25800,214370,2020-10-19
Enterprise,France,Paseo,Medium,2385,143100,10,125,298125,14906,283218,286200,112426,2020-10-19
Small Business,Canada,Carretera,Medium,1094,136750,3,300,328200,29538,298662,273500,210644,2020-10-19
Enterprise,Canada,Montana,None,2665,159930,5,125,333187,0,333187,319860,305022,2020-10-20
Midmarket,Germany,VTT,Low,1945,9725,250,15,29175,875,28299,19450,220049,2020-10-20
Government,Mexico,Amarilla,High,344,44720,260,350,120400,13244,107156,89440,156214,2020-10-20
Government,Germany,Montana,None,2146,5365,5,7,15022,0,15022,10730,50159,2020-10-20
Midmarket,Mexico,Amarilla,High,1870,9350,260,15,28050,3927,24123,18700,48767,2020-10-20
Enterprise,Germany,Paseo,Low,1706,102360,10,125,213250,6397,206852,204720,81999,2020-10-20
Enterprise,Mexico,Carretera,Medium,1540,92400,3,125,192500,15400,177100,184800,136025,2020-10-21
Small Business,Mexico,Carretera,Low,494,61750,3,300,148200,1482,146718,123500,176890,2020-10-21
Government,United States of America,Montana,Low,1566,7830,5,20,31320,626,30693,15660,118170,2020-10-22
Small Business,Canada,VTT,Low,1874,234250,250,300,562200,16866,545334,468500,240915,2020-10-22
Government,United States of America,Paseo,Low,1056,5280,10,20,21120,844,20275,10560,198767,2020-10-23
Government,Germany,Paseo,Medium,1366,6830,10,20,27320,2185,25134,13660,196914,2020-10-23
Enterprise,Germany,Paseo,Medium,3513,210780,10,125,439125,30738,408386,421560,151265,2020-10-24
Small Business,United States of America,Velo,Medium,1372,171500,120,300,411600,28812,382788,343000,272103,2020-10-24
Midmarket,United States of America,Paseo,Low,671,3355,10,15,10065,402,9662,6710,266945,2020-10-25
Government,Mexico,Carretera,Medium,1834,9170,3,20,36680,2567,34112,18340,142187,2020-10-25
Government,Germany,Paseo,Medium,1259,3147,10,7,8813,705,8107,6295,17294,2020-10-25
Government,Mexico,Paseo,Medium,1038,5190,10,20,20760,1868,18891,10380,20370,2020-10-25
Government,Canada,Velo,Low,2092,5230,120,7,14644,146,14497,10460,13832,2020-10-26
Government,Germany,Carretera,High,792,102960,3,350,277200,30492,246708,205920,93365,2020-10-26
Enterprise,Mexico,VTT,Medium,877,52620,250,125,109625,9866,99758,105240,120321,2020-10-26
Government,France,Paseo,High,1954,9770,10,20,39080,3908,35172,19540,127213,2020-10-26
Government,Germany,Paseo,High,1158,5790,10,20,23160,3474,19686,11580,51539,2020-10-26
Enterprise,Mexico,Montana,Low,1660,99600,5,125,207500,4150,203350,199200,86069,2020-10-26
Government,France,Paseo,Medium,2136,5340,10,7,14952,747,14204,10680,79080,2020-10-26
Government,France,Velo,Low,639,1597,120,7,4473,44,4428,3195,73994,2020-10-26
Small Business,Mexico,VTT,High,432,54000,250,300,129600,12960,116640,108000,45091,2020-10-26
Enterprise,Mexico,VTT,Low,662,39720,250,125,82750,1655,81095,79440,67388,2020-10-26
Government,Canada,Amarilla,Medium,1135,2837,260,7,7945,556,7388,5675,68374,2020-10-27
Midmarket,Mexico,Velo,Medium,2861,14305,120,15,42915,2145,40769,28610,43084,2020-10-27
Government,France,Amarilla,Medium,1403,3507,260,7,9821,589,9231,7015,19129,2020-10-27
Enterprise,France,Velo,None,1804,108240,120,125,225500,0,225500,216480,91833,2020-10-28
Channel Partners,Germany,Carretera,Medium,1116,1674,3,12,13392,669,12722,3348,82484,2020-10-28
Channel Partners,United States of America,Montana,Medium,2723,4084,5,12,32676,1960,30715,8169,89646,2020-10-28
Midmarket,United States of America,Paseo,Medium,2198,10990,10,15,32970,1978,30991,21980,24809,2020-10-28
Government,Germany,Paseo,Medium,1366,6830,10,20,27320,2185,25134,13660,28947,2020-10-28
Enterprise,Germany,Amarilla,Medium,994,59640,260,125,124250,8697,115552,119280,57226,2020-10-29
Small Business,Canada,Paseo,High,1366,170750,10,300,409800,45078,364722,341500,168469,2020-10-29
Small Business,Germany,Paseo,Low,1414,176812,10,300,424350,16974,407376,353625,295883,2020-10-29
Midmarket,United States of America,VTT,Medium,1153,5765,250,15,17295,1037,16257,11530,262785,2020-10-30
Midmarket,France,Montana,High,2072,10360,5,15,31080,3108,27972,20720,150535,2020-10-30
Midmarket,France,Paseo,High,2167,10835,10,15,32505,3250,29254,21670,24494,2020-10-30
Small Business,France,Velo,Medium,1659,207375,120,300,497700,34839,462861,414750,173362,2020-10-30
Channel Partners,Germany,Amarilla,High,472,708,260,12,5664,623,5040,1416,165718,2020-10-31
Midmarket,Germany,Paseo,Low,1945,9725,10,15,29175,875,28299,19450,165400,2020-10-31
Enterprise,United States of America,Paseo,Medium,861,51660,10,125,107625,5381,102243,103320,45194,2020-10-31
Midmarket,Germany,Paseo,High,278,1390,10,15,4170,583,3586,2780,44709,2020-10-31
Midmarket,France,Carretera,Medium,490,2450,3,15,7350,588,6762,4900,37530,2020-11-01
Government,Mexico,Velo,Medium,1333,3332,120,7,9331,559,8771,6665,6373,2020-11-01
Channel Partners,United States of America,Montana,Medium,2723,4084,5,12,32676,1960,30715,8169,15416,2020-11-02
Government,Mexico,Amarilla,High,2039,10195,260,20,40780,4078,36702,20390,25396,2020-11-02
Government,United States of America,Paseo,Low,4492,11231,10,7,31447,314,31133,22462,32850,2020-11-02
Government,Mexico,Amarilla,High,1727,4317,260,7,12089,1692,10396,8635,26077,2020-11-02
Enterprise,France,Carretera,High,1023,61380,3,125,127875,17902,109972,122760,50500,2020-11-03
Government,Mexico,VTT,Medium,1498,3745,250,7,10486,629,9856,7490,43408,2020-11-03
Government,Canada,Amarilla,Medium,1118,5590,260,20,22360,1565,20794,11180,46874,2020-11-03
Government,United States of America,Paseo,Low,1056,5280,10,20,21120,844,20275,10560,16975,2020-11-03
Channel Partners,United States of America,VTT,Medium,1956,2934,250,12,23472,2112,21359,5868,20809,2020-11-04
Enterprise,United States of America,Velo,High,1596,95760,120,125,199500,19950,179550,191520,73728,2020-11-04
Channel Partners,France,Carretera,Low,2671,4006,3,12,32052,320,31731,8013,77547,2020-11-04
Channel Partners,Canada,Carretera,High,1937,2905,3,12,23244,2556,20687,5811,77323,2020-11-04
Government,Mexico,Montana,High,1727,4317,5,7,12089,1692,10396,8635,20938,2020-11-04
Small Business,France,Velo,Medium,386,48250,120,300,115800,9264,106536,96500,45873,2020-11-05
Channel Partners,Mexico,Velo,Low,1084,1626,120,12,13008,260,12747,3252,43226,2020-11-05
Government,France,VTT,High,1281,166530,250,350,448350,62769,385581,333060,168288,2020-11-05
Enterprise,France,Carretera,High,1174,70440,3,125,146750,22012,124737,140880,174355,2020-11-05
Government,Canada,Paseo,Low,4251,10627,10,7,29757,1190,28566,21255,179628,2020-11-06
Government,France,VTT,Medium,574,74685,250,350,201075,16086,184989,149370,112764,2020-11-06
Enterprise,France,Carretera,Low,4243,254610,3,125,530437,15913,514524,509220,242693,2020-11-06
Channel Partners,Mexico,Paseo,High,571,856,10,12,6852,890,5961,1713,235158,2020-11-07
Channel Partners,Canada,Paseo,Medium,2299,3448,10,12,27588,1655,25932,6897,182139,2020-11-07
Midmarket,United States of America,Montana,High,677,3385,5,15,10155,1218,8936,6770,13610,2020-11-08
Government,Mexico,Paseo,High,2535,6337,10,7,17745,2661,15083,12675,16650,2020-11-09
Government,Canada,Carretera,Medium,819,2047,3,7,5733,515,5217,4095,9745,2020-11-09
Midmarket,Mexico,Paseo,Low,2031,10155,10,15,30465,1218,29246,20310,16515,2020-11-09
Midmarket,Germany,Carretera,High,1513,7565,3,15,22695,3177,19517,15130,17993,2020-11-09
Channel Partners,United States of America,Velo,High,914,1371,120,12,10968,1645,9322,2742,19362,2020-11-09
Government,Germany,Amarilla,Low,1907,247910,260,350,667450,26698,640752,495820,223197,2020-11-09
Midmarket,Mexico,Montana,High,2157,10785,5,15,32355,3559,28795,21570,226290,2020-11-10
Government,Canada,Velo,Low,2092,5230,120,7,14644,146,14497,10460,228015,2020-11-11
Government,Germany,Montana,Medium,1460,189800,5,350,511000,30660,480340,379600,174544,2020-11-11
Government,Mexico,Paseo,High,1197,155610,10,350,418950,50274,368676,311220,287838,2020-11-11
Government,France,Amarilla,None,1899,9495,260,20,37980,0,37980,18990,295665,2020-11-12
Government,France,Velo,Medium,1976,9880,120,20,39520,2766,36753,19760,147803,2020-11-12
Midmarket,Mexico,Carretera,Medium,2791,13955,3,15,41865,2093,39771,27910,38168,2020-11-13
Channel Partners,Germany,Velo,None,1545,2317,120,12,18540,0,18540,4635,31688,2020-11-13
Channel Partners,France,VTT,Medium,1738,2607,250,12,20862,1460,19401,5215,25904,2020-11-13
Government,Canada,Paseo,Medium,1228,159640,10,350,429800,21490,408310,319280,148750,2020-11-13
Channel Partners,Germany,Carretera,Low,766,1149,3,12,9192,91,9100,2298,145604,2020-11-13
Channel Partners,France,Amarilla,Medium,306,459,260,12,3672,330,3341,918,140250,2020-11-13
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,62567,2020-11-14
Small Business,Mexico,Amarilla,Medium,635,79375,260,300,190500,15240,175260,158750,117954,2020-11-14
Small Business,France,Velo,Medium,386,48250,120,300,115800,9264,106536,96500,152352,2020-11-14
Government,France,Amarilla,High,3421,8553,260,7,23950,2874,21076,17107,100957,2020-11-14
Government,France,Velo,Low,639,1597,120,7,4473,44,4428,3195,44013,2020-11-15
Small Business,Germany,Paseo,High,1359,169875,10,300,407700,48924,358776,339750,128093,2020-11-15
Government,Mexico,Carretera,High,2579,12895,3,20,51580,7221,44358,25790,135854,2020-11-15
Government,United States of America,Amarilla,Medium,1282,6410,260,20,25640,2051,23588,12820,142241,2020-11-15
Government,United States of America,Amarilla,Medium,2907,7267,260,7,20349,1627,18721,14535,28889,2020-11-15
Enterprise,France,Amarilla,High,1433,85980,260,125,179125,19703,159421,171960,67243,2020-11-16
Government,Canada,Paseo,Medium,2349,5872,10,7,16443,822,15620,11745,64587,2020-11-16
Small Business,France,Montana,Medium,2181,272625,5,300,654300,45801,608499,545250,261180,2020-11-16
Government,Canada,Carretera,Low,2851,7127,3,7,19957,798,19158,14255,214426,2020-11-17
Midmarket,Germany,Montana,Medium,711,3555,5,15,10665,853,9811,7110,212489,2020-11-17
Small Business,Canada,VTT,High,269,33625,250,300,80700,11298,69402,67250,32790,2020-11-17
Government,Germany,VTT,High,1870,243100,250,350,654500,65450,589050,486200,222754,2020-11-17
Government,Canada,Paseo,None,1817,9085,10,20,36340,0,36340,18170,231597,2020-11-18
Small Business,United States of America,VTT,Medium,1867,233375,250,300,560100,50409,509691,466750,378360,2020-11-18
Enterprise,United States of America,Paseo,Medium,2797,167820,10,125,349625,31466,318158,335640,288063,2020-11-18
Government,Mexico,VTT,Medium,1123,5615,250,20,22460,1347,21112,11230,282987,2020-11-18
Government,Mexico,Paseo,Low,1760,4400,10,7,12320,369,11950,8800,117073,2020-11-18
Midmarket,United States of America,VTT,High,2567,12835,250,15,38505,5005,33499,25670,22187,2020-11-18
Channel Partners,France,Velo,Medium,1967,2950,120,12,23604,2124,21479,5901,22309,2020-11-19
Government,Mexico,Paseo,High,2851,370630,10,350,997850,149677,848172,741260,301050,2020-11-19
Midmarket,Canada,Paseo,High,1743,8715,10,15,26145,3660,22484,17430,297378,2020-11-19
Channel Partners,United States of America,Paseo,None,912,1368,10,12,10944,0,10944,2736,293867,2020-11-20
Channel Partners,Mexico,Amarilla,Medium,1375,2062,260,12,16500,1320,15180,4125,16203,2020-11-20
Midmarket,United States of America,Velo,Medium,555,2775,120,15,8325,416,7908,5550,11344,2020-11-20
Enterprise,Mexico,Paseo,Low,1823,109380,10,125,227875,2278,225596,218760,82895,2020-11-20
Government,United States of America,Carretera,High,2996,7490,3,7,20972,2936,18035,14980,83846,2020-11-20
Channel Partners,Mexico,Carretera,Medium,562,843,3,12,6744,404,6339,1686,83323,2020-11-20
Channel Partners,Canada,Velo,Medium,598,897,120,12,7176,574,6601,1794,10325,2020-11-21
Small Business,United States of America,Amarilla,Medium,1372,171500,260,300,411600,28812,382788,343000,131909,2020-11-21
Government,Mexico,VTT,Low,1940,252200,250,350,679000,13580,665420,504400,351603,2020-11-21
Channel Partners,Mexico,Montana,Medium,2340,3510,5,12,28080,1965,26114,7020,358107,2020-11-21
Channel Partners,Canada,Carretera,Low,1445,2167,3,12,17340,173,17166,4335,236233,2020-11-22
Enterprise,Germany,Paseo,Low,1706,102360,10,125,213250,6397,206852,204720,83377,2020-11-22
Midmarket,Canada,Paseo,High,2470,12350,10,15,37050,5187,31863,24700,85294,2020-11-22
Midmarket,Canada,Montana,High,2300,11500,5,15,34500,4830,29670,23000,89462,2020-11-22
Government,Mexico,VTT,High,2903,7257,250,7,20321,2844,17476,14515,26336,2020-11-23
Government,France,Velo,Low,2177,283010,120,350,761950,30478,731472,566020,259539,2020-11-23
Channel Partners,Canada,Amarilla,High,3520,5280,260,12,42246,4224,38021,10561,262323,2020-11-24
Enterprise,Mexico,Paseo,Low,1138,68280,10,125,142250,5690,136560,136560,302018,2020-11-24
Small Business,Germany,VTT,Low,214,26750,250,300,64200,1284,62916,53500,79166,2020-11-24
Channel Partners,Germany,Velo,High,1013,1519,120,12,12156,1580,10575,3039,70017,2020-11-24
Channel Partners,Mexico,Montana,Medium,2340,3510,5,12,28080,1965,26114,7020,33202,2020-11-25
Midmarket,Canada,VTT,High,1565,7825,250,15,23475,3051,20423,15650,19037,2020-11-25
Small Business,Mexico,Montana,High,546,68250,5,300,163800,24570,139230,136500,61922,2020-11-25
Government,United States of America,Paseo,Medium,973,4865,10,20,19460,1751,17708,9730,59120,2020-11-25
Enterprise,France,Amarilla,Medium,1987,119250,260,125,248437,14906,233531,238500,130156,2020-11-25
Government,United States of America,Velo,High,606,3030,120,20,12120,1696,10423,6060,87221,2020-11-25
Small Business,France,Paseo,Low,2434,304312,10,300,730350,21910,708439,608625,317464,2020-11-25
Government,Canada,Montana,High,388,970,5,7,2716,380,2335,1940,240399,2020-11-25
Midmarket,Canada,VTT,High,1565,7825,250,15,23475,3051,20423,15650,243732,2020-11-26
Government,Canada,Amarilla,Medium,1269,164970,260,350,444150,39973,404176,329940,142311,2020-11-26
Midmarket,Germany,Amarilla,Medium,970,4850,260,15,14550,1309,13240,9700,145946,2020-11-27
Government,France,Montana,Medium,1384,179985,5,350,484575,24228,460346,359970,292587,2020-11-27
Government,Mexico,Amarilla,Medium,1679,218270,260,350,587650,35259,552391,436540,341992,2020-11-27
Government,Mexico,VTT,Medium,2689,6722,250,7,18823,941,17881,13445,343539,2020-11-27
Enterprise,Mexico,Paseo,Medium,1114,66840,10,125,139250,11140,128110,133680,232794,2020-11-27
Government,Mexico,Paseo,High,905,4525,10,20,18100,2172,15928,9050,53973,2020-11-27
Small Business,Canada,Velo,Medium,3793,474187,120,300,1138050,102424,1035625,948375,393221,2020-11-27
Government,France,Paseo,High,1731,4327,10,7,12117,1696,10420,8655,353991,2020-11-27
Government,Canada,Paseo,High,723,1807,10,7,5061,759,4301,3615,350115,2020-11-27
Channel Partners,Mexico,Velo,High,500,750,120,12,6000,900,5100,1500,6607,2020-11-28
Government,Mexico,Paseo,Medium,2417,314210,10,350,845950,76135,769814,628420,259738,2020-11-28
Channel Partners,Germany,Amarilla,High,1770,2655,260,12,21240,2761,18478,5310,264464,2020-11-29
Small Business,Canada,VTT,High,1496,187000,250,300,448800,62832,385968,374000,391420,2020-11-29
Enterprise,Mexico,Carretera,High,2821,169260,3,125,352625,49367,303257,338520,235901,2020-11-29
Midmarket,Canada,VTT,High,1565,7825,250,15,23475,3051,20423,15650,236549,2020-11-29
Midmarket,United States of America,Amarilla,High,2548,12740,260,15,38220,4586,33633,25480,119104,2020-11-30
Enterprise,Germany,Carretera,High,1085,65100,3,125,135625,20343,115281,130200,56446,2020-11-30
Midmarket,United States of America,Velo,High,790,3950,120,15,11850,1185,10665,7900,53193,2020-11-30
Small Business,United States of America,VTT,High,2541,317625,250,300,762300,106722,655578,635250,260508,2020-12-01
Government,Canada,Paseo,High,2428,12140,10,20,48560,6798,41761,24280,236001,2020-12-01
Small Business,France,VTT,Medium,1221,152625,250,300,366300,21978,344322,305250,347220,2020-12-01
Midmarket,United States of America,Paseo,Medium,1153,5765,10,15,17295,1037,16257,11530,134113,2020-12-01
Government,Canada,Velo,High,2632,342160,120,350,921200,119756,801444,684320,387341,2020-12-01
Government,Mexico,Carretera,High,2706,6765,3,7,18942,2083,16858,13530,278186,2020-12-02
Enterprise,Canada,Amarilla,High,1659,99540,260,125,207375,26958,180416,199080,332906,2020-12-03
Midmarket,Germany,VTT,High,492,2460,250,15,7380,1107,6273,4920,67849,2020-12-03
Government,France,Montana,Low,1375,6877,5,20,27510,275,27234,13755,71308,2020-12-04
Enterprise,United States of America,Velo,Medium,2755,165300,120,125,344375,20662,323712,330600,119073,2020-12-04
Midmarket,Mexico,VTT,High,641,3205,250,15,9615,961,8653,6410,119866,2020-12-04
Government,France,Montana,Medium,1757,8785,5,20,35140,2108,33031,17570,121799,2020-12-04
Channel Partners,France,Montana,Medium,2342,3513,5,12,28104,1967,26136,7026,22607,2020-12-04
Midmarket,Canada,Velo,High,384,1920,120,15,5760,633,5126,3840,21431,2020-12-05
Small Business,Germany,Amarilla,Low,259,32375,260,300,77700,1554,76146,64750,35803,2020-12-05
Government,Germany,Amarilla,Medium,1366,6830,260,20,27320,2185,25134,13660,35469,2020-12-05
Small Business,Germany,Montana,Medium,334,41750,5,300,100200,9018,91182,83500,64154,2020-12-05
Government,Mexico,Amarilla,High,344,44720,260,350,120400,13244,107156,89440,74491,2020-12-05
Channel Partners,United States of America,Velo,High,914,1371,120,12,10968,1645,9322,2742,69220,2020-12-05
Government,Mexico,Velo,Low,544,2720,120,20,10880,217,10662,5440,42380,2020-12-06
Channel Partners,Mexico,Amarilla,High,410,615,260,12,4920,639,4280,1230,8088,2020-12-06
Small Business,France,Velo,Medium,1221,152625,120,300,366300,21978,344322,305250,119755,2020-12-06
Government,Germany,Amarilla,Medium,1350,175500,260,350,472500,23625,448875,351000,265826,2020-12-06
Government,United States of America,Paseo,Medium,678,1695,10,7,4746,379,4366,3390,265854,2020-12-06
Government,United States of America,VTT,Medium,436,2182,250,20,8730,698,8031,4365,153757,2020-12-07
Small Business,Canada,VTT,Medium,2134,266750,250,300,640200,51216,588984,533500,200460,2020-12-08
Government,United States of America,Amarilla,None,1143,2857,260,7,8001,0,8001,5715,201672,2020-12-08
Enterprise,United States of America,Paseo,Medium,2992,179520,10,125,374000,18700,355300,359040,317428,2020-12-08
Government,Mexico,Carretera,Medium,1834,9170,3,20,36680,2567,34112,18340,132471,2020-12-08
Government,Mexico,Montana,High,1715,8575,5,20,34300,4116,30184,17150,139865,2020-12-09
Government,Mexico,Amarilla,High,1727,4317,260,7,12089,1692,10396,8635,24897,2020-12-09
Small Business,Canada,VTT,Medium,2134,266750,250,300,640200,51216,588984,533500,209855,2020-12-10
Channel Partners,Canada,Amarilla,High,2761,4141,260,12,33132,3975,29156,8283,209512,2020-12-11
Enterprise,Canada,Velo,Medium,567,34020,120,125,70875,6378,64496,68040,227545,2020-12-11
Enterprise,Germany,Velo,Low,809,48540,120,125,101125,2022,99102,97080,64251,2020-12-11
Enterprise,Canada,VTT,Low,2729,163740,250,125,341125,6822,334302,327480,165967,2020-12-12
Small Business,United States of America,Paseo,Low,2918,364750,10,300,875400,35016,840384,729500,424596,2020-12-12
Channel Partners,Mexico,Velo,High,410,615,120,12,4920,639,4280,1230,392989,2020-12-12
Channel Partners,Germany,Paseo,High,1013,1519,10,12,12156,1580,10575,3039,285080,2020-12-12
Government,France,Carretera,Low,2145,5362,3,7,15015,300,14714,10725,9856,2020-12-13
Government,France,Velo,Medium,1496,194480,120,350,523600,31416,492184,388960,172491,2020-12-13
Channel Partners,Canada,Montana,Medium,2321,3481,5,12,27852,2506,25345,6963,177414,2020-12-13
Government,Mexico,Amarilla,Medium,1694,8470,260,20,33880,3049,30830,16940,182786,2020-12-13
Channel Partners,Mexico,VTT,High,1005,1507,250,12,12060,1326,10733,3015,22303,2020-12-13
Government,Canada,Paseo,Low,2074,10370,10,20,41480,1659,39820,20740,27128,2020-12-13
Government,France,Velo,Medium,1579,7895,120,20,31580,1579,30001,15790,26851,2020-12-14
Channel Partners,France,VTT,Medium,1738,2607,250,12,20862,1460,19401,5215,29741,2020-12-14
Midmarket,Germany,VTT,Low,1945,9725,250,15,29175,875,28299,19450,25900,2020-12-14
Enterprise,Mexico,Velo,Low,2145,128700,120,125,268125,5362,262762,257400,103487,2020-12-15
Government,France,Montana,Medium,1666,216580,5,350,583100,52479,530621,433160,273894,2020-12-15
Small Business,France,Velo,High,853,106625,120,300,255900,25590,230310,213250,341231,2020-12-15
